"geo","year","yoy"
"EE",2023,45.063433044973
"BG",2023,24.1955505160384
"HU",2023,23.7305492397328
"PL",2023,21.7087613019878
"SK",2023,20.8488629703302
"CZ",2023,19.208278816339
"HR",2023,16.0947262188523
"LV",2023,14.0705105577575
"RO",2023,13.0751888573877
"LU",2023,12.1745810758676
"LT",2023,11.8295450056836
"NL",2023,11.354997284861
"ES",2023,10.4026564640773
"IE",2023,9.47092730823802
"BE",2023,8.99582148540274
"AT",2023,8.21292849028421
"FI",2023,8.20122229422153
"IT",2023,7.30693863296836
"SI",2023,6.82847083603226
"MT",2023,5.99212027363427
"CY",2023,5.65923365618994
"FR",2023,5.05003621507083
"DE",2023,4.84694299442301
"PT",2023,4.16702757592455
"DK",2023,3.12816098731625
"SE",2023,-2.30923248204752
